timestamp,car_id,est_x,est_y
11.1,1,35.0,-200.0
11.2,1,35.0,-200.0
11.3,1,35.0,-200.0
11.4,1,35.0,-200.0
11.5,1,35.0,-200.0
11.6,1,35.0,-200.0
11.7,1,35.0,-200.0
11.8,1,35.0,-200.0
11.9,1,35.0,-200.0
12.0,1,35.0,-200.0
12.1,1,35.0,-200.0
12.2,1,35.0,-200.0
12.3,1,35.0,-200.0
12.4,1,35.0,-200.0
12.5,1,35.0,-200.0
12.6,1,35.0,-200.0
12.7,1,35.0,-200.0
12.8,1,35.0,-200.0
12.9,1,35.0,-200.0
13.0,1,35.0,-200.0
13.1,1,35.0,-200.0
13.2,1,35.0,-200.0
13.3,1,35.0,-151.69
13.4,1,35.0,-149.8
13.5,1,35.0,-147.91
13.6,1,35.0,-146.03
13.7,1,35.0,-144.14
13.8,1,35.0,-142.26
13.9,1,35.0,-140.37
14.0,1,35.0,-138.49
14.1,1,35.0,-136.6
14.2,1,35.0,-134.71
14.3,1,35.0,-132.83
14.4,1,35.0,-130.94
14.5,1,35.0,-129.06
14.6,1,35.0,-127.17
14.7,1,35.0,-125.29
14.8,1,35.0,-123.4
14.9,1,35.0,-121.51
15.0,1,35.0,-119.63
15.1,1,35.0,-117.74
15.2,1,35.0,-115.86
15.3,1,35.0,-113.97
15.4,1,35.0,-112.08
15.5,1,35.0,-110.2
15.6,1,35.0,-108.31
15.7,1,35.0,-106.43
15.8,1,35.0,-104.54
15.9,1,35.0,-102.66
16.0,1,35.0,-100.77
16.1,1,35.0,-98.88
16.2,1,35.0,-97.0
16.3,1,35.0,-95.11
16.4,1,35.0,-93.23
16.5,1,35.0,-91.34
16.6,1,35.0,-89.46
16.7,1,35.0,-87.57
16.8,1,35.0,-85.68
16.9,1,35.0,-83.8
17.0,1,35.0,-81.91
17.1,1,35.0,-80.03
17.2,1,35.0,-78.14
17.3,1,35.0,-76.25
17.4,1,35.0,-74.37
17.5,1,35.0,-72.48
17.6,1,35.0,-70.6
17.7,1,35.0,-68.71
17.8,1,35.0,-66.83
17.9,1,35.0,-64.94
18.0,1,35.0,-63.05
18.1,1,35.0,-61.17
18.2,1,35.0,-59.28
18.3,1,35.0,-57.4
18.4,1,35.0,-55.51
18.5,1,35.0,-53.63
18.6,1,35.0,-51.74
18.7,1,35.0,-49.85
18.8,1,35.0,-47.97
18.9,1,35.0,-46.08
19.0,1,35.0,-44.2
19.1,1,35.0,-42.31
19.2,1,35.0,-40.42
19.3,1,35.0,-38.54
19.4,1,35.0,-36.65
19.5,1,35.0,-34.77
19.6,1,35.0,-32.88
19.7,1,35.0,-31.0
19.8,1,35.0,-29.11
19.9,1,35.0,-27.22
20.0,1,35.0,-25.34
20.1,1,35.0,-23.45
20.2,1,35.0,-21.57
20.3,1,35.0,-19.68
20.4,1,35.0,-17.8
20.5,1,35.0,-15.91
20.6,1,35.0,-14.02
20.7,1,35.0,-12.14
20.8,1,35.0,-10.25
20.9,1,35.0,-8.37
21.0,1,35.0,-6.48
21.1,1,35.0,-4.6
21.2,1,35.0,-2.71
21.3,1,35.0,-0.82
21.4,1,35.0,1.06
21.5,1,35.0,2.95
21.6,1,35.0,4.83
21.7,1,35.0,6.72
21.8,1,35.0,8.61
21.9,1,35.0,10.49
22.0,1,35.0,12.38
22.1,1,35.0,14.26
