timestamp,car_id,est_x,est_y
8.7,1,30.0,202.5
8.8,1,30.0,202.5
8.9,1,30.0,202.5
9.0,1,30.0,202.5
9.1,1,30.0,202.5
9.2,1,30.0,202.5
9.3,1,30.0,202.5
9.4,1,30.0,202.5
9.5,1,30.0,202.5
9.6,1,30.0,202.5
9.7,1,30.0,202.5
9.8,1,30.0,202.5
9.9,1,30.0,202.5
10.0,1,30.0,202.5
10.1,1,30.0,202.5
10.2,1,30.0,202.5
10.3,1,30.0,202.5
10.4,1,30.0,202.5
10.5,1,30.0,202.5
10.6,1,30.0,202.5
10.6,2,35.0,-200.0
10.7,1,30.0,202.5
10.7,2,35.0,-200.0
10.8,1,30.0,202.5
10.8,2,35.0,-200.0
10.9,1,30.0,202.5
10.9,2,35.0,-200.0
11.0,1,30.0,202.5
11.0,2,35.0,-200.0
11.1,1,30.0,202.5
11.1,2,35.0,-200.0
11.2,1,30.0,202.5
11.2,2,35.0,-200.0
11.3,1,30.0,202.5
11.3,2,35.0,-200.0
11.4,1,30.0,202.5
11.4,2,35.0,-200.0
11.5,1,30.0,202.5
11.5,2,35.0,-200.0
11.6,1,30.0,202.5
11.6,2,35.0,-200.0
11.7,1,30.0,202.5
11.7,2,35.0,-200.0
11.8,1,30.0,202.5
11.8,2,35.0,-200.0
11.9,1,30.0,202.5
11.9,2,35.0,-200.0
12.0,1,30.0,202.5
12.0,2,35.0,-200.0
12.1,1,30.0,202.5
12.1,2,35.0,-200.0
12.2,1,30.0,202.5
12.2,2,35.0,-200.0
12.3,1,30.0,202.5
12.3,2,35.0,-200.0
12.4,1,30.0,202.5
12.4,2,35.0,-200.0
12.5,1,30.0,202.5
12.5,2,35.0,-200.0
12.6,1,30.0,143.14
12.6,2,35.0,-200.0
12.7,1,30.0,141.51
12.7,2,35.0,-200.0
12.8,1,30.0,139.88
12.8,2,35.0,-200.0
12.9,1,30.0,138.25
12.9,2,35.0,-200.0
13.0,1,30.0,136.62
13.0,2,35.0,-200.0
13.1,1,30.0,134.99
13.1,2,35.0,-200.0
13.2,1,30.0,133.36
13.2,2,35.0,-200.0
13.3,1,30.0,131.72
13.3,2,35.0,-200.0
13.4,1,30.0,130.09
13.4,2,35.0,-200.0
13.5,1,30.0,128.46
13.5,2,35.0,-200.0
13.6,1,30.0,126.83
13.6,2,35.0,-200.0
13.7,1,30.0,125.2
13.7,2,35.0,-200.0
13.8,1,30.0,123.57
13.8,2,35.0,-200.0
13.9,1,30.0,121.94
13.9,2,35.0,-200.0
14.0,1,30.0,120.3
14.0,2,35.0,-150.72
14.1,1,30.0,118.67
14.1,2,35.0,-149.23
14.2,1,30.0,117.04
14.2,2,35.0,-147.74
14.3,1,30.0,115.41
14.3,2,35.0,-146.25
14.4,1,30.0,113.78
14.4,2,35.0,-144.76
14.5,1,30.0,112.15
14.5,2,35.0,-143.27
14.6,1,30.0,110.52
14.6,2,35.0,-141.78
14.7,1,30.0,108.88
14.7,2,35.0,-140.29
14.8,1,30.0,107.25
14.8,2,35.0,-138.8
14.9,1,30.0,105.62
14.9,2,35.0,-137.31
15.0,1,30.0,103.99
15.0,2,35.0,-135.82
15.1,1,30.0,102.36
15.1,2,35.0,-134.33
15.2,1,30.0,100.73
15.2,2,35.0,-132.84
15.3,1,30.0,99.1
15.3,2,35.0,-131.35
15.4,1,30.0,97.46
15.4,2,35.0,-129.86
15.5,1,30.0,95.83
15.5,2,35.0,-128.37
